"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401404030,10,2022,"Colorado","Oregon",1,1,7,0
401404031,10,2022,"Washington","Oregon State",3,1,2,0
401404032,10,2022,"Stanford","Washington State",2,0,6,1
401404033,11,2022,"USC","Colorado",7,1,2,1
401404034,11,2022,"UCLA","Arizona",4,0,4,2
401404035,11,2022,"Washington State","Arizona State",4,0,3,0
401404036,11,2022,"Oregon State","California",4,1,0,1
401404037,11,2022,"Oregon","Washington",4,2,4,3
401404038,11,2022,"Utah","Stanford",6,0,1,0
401404039,12,2022,"Arizona","Washington State",2,2,3,1
401404040,12,2022,"Arizona State","Oregon State",1,0,4,1
401404041,12,2022,"California","Stanford",2,2,2,2
401404042,12,2022,"Washington","Colorado",7,1,1,0
401404043,12,2022,"Oregon","Utah",2,2,1,1
401404044,12,2022,"UCLA","USC",6,1,6,2
401404045,13,2022,"Arizona","Arizona State",5,1,5,0
401404046,13,2022,"California","UCLA",4,0,4,2
401404047,13,2022,"Oregon State","Oregon",5,1,4,2
401404048,13,2022,"Colorado","Utah",3,0,9,0
401404049,13,2022,"Stanford","BYU",3,2,5,0
401404051,13,2022,"Washington State","Washington",4,2,7,1
401404052,1,2022,"Kansas","Tennessee Tech",7,0,1,1
401404055,1,2022,"Texas Tech","Murray State",9,0,1,1
401404056,1,2022,"Kansas State","South Dakota",4,0,0,0
401404057,1,2022,"Iowa State","Southeast Missouri State",6,0,1,1
401404059,1,2022,"Texas","Louisiana Monroe",5,1,1,1
401404062,2,2022,"BYU","Baylor",3,2,3,0
401404063,2,2022,"Texas Tech","Houston",4,2,2,3
401404064,2,2022,"Iowa","Iowa State",1,0,1,1
401404065,2,2022,"West Virginia","Kansas",4,2,7,0
401404066,2,2022,"Oklahoma","Kent State",4,1,0,1
401404067,2,2022,"TCU","Tarleton State",5,1,1,1
401404068,3,2022,"Houston","Kansas",4,1,6,2
401404069,3,2022,"Iowa State","Ohio",5,3,0,1
401404070,3,2022,"Nebraska","Oklahoma",2,0,7,0
401404071,3,2022,"Baylor","Texas State",6,0,1,0
401404072,3,2022,"NC State","Texas Tech",2,2,2,0
401404073,3,2022,"West Virginia","Towson",10,1,0,0
401404074,3,2022,"Kansas State","Tulane",1,1,2,1
401404075,3,2022,"Oklahoma State","Arkansas-Pine Bluff",7,0,1,0
401404078,4,2022,"SMU","TCU",5,0,6,0
401404079,4,2022,"Kansas","Duke",5,0,3,2
401404080,4,2022,"Iowa State","Baylor",3,1,4,1
401404081,4,2022,"Oklahoma","Kansas State",4,2,5,2
401404082,4,2022,"Texas Tech","Texas",4,3,4,2
401404083,5,2022,"Baylor","Oklahoma State",4,1,3,2
401404084,5,2022,"Kansas","Iowa State",2,0,1,1
401404085,5,2022,"Kansas State","Texas Tech",4,3,3,2
401404086,5,2022,"TCU","Oklahoma",8,0,3,1
401404087,5,2022,"Texas","West Virginia",5,1,3,0
401404088,6,2022,"Iowa State","Kansas State",0,3,1,1
401404089,6,2022,"Kansas","TCU",4,1,5,1
401404090,6,2022,"Oklahoma","Texas",0,0,7,0
401404091,6,2022,"Oklahoma State","Texas Tech",4,4,4,1
401404092,7,2022,"West Virginia","Baylor",4,2,5,2
401404093,7,2022,"Texas","Iowa State",3,1,3,0
401404094,7,2022,"Oklahoma","Kansas",3,1,6,0
401404095,7,2022,"TCU","Oklahoma State",5,3,4,4
401404096,8,2022,"Baylor","Kansas",5,0,3,1
401404097,8,2022,"TCU","Kansas State",5,1,4,0
401404098,8,2022,"Oklahoma State","Texas",5,2,4,2
401404099,8,2022,"Texas Tech","West Virginia",6,2,1,1
401404100,9,2022,"Iowa State","Oklahoma",1,2,3,2
401404101,9,2022,"Texas Tech","Baylor",2,1,5,1
401404102,9,2022,"Kansas State","Oklahoma State",6,2,0,0
401404103,9,2022,"West Virginia","TCU",4,1,5,2
401404104,10,2022,"Oklahoma","Baylor",5,0,5,1
401404105,10,2022,"Iowa State","West Virginia",4,1,2,0
401404106,10,2022,"Kansas","Oklahoma State",4,3,2,1
401404107,10,2022,"Kansas State","Texas",3,2,4,2
401404108,10,2022,"TCU","Texas Tech",3,2,3,1
401404109,11,2022,"Baylor","Kansas State",0,1,3,1
401404110,11,2022,"Oklahoma State","Iowa State",2,2,2,0
401404111,11,2022,"Texas Tech","Kansas",4,3,4,0
401404112,11,2022,"West Virginia","Oklahoma",3,1,2,1
401404113,11,2022,"Texas","TCU",0,1,2,1
401404114,12,2022,"Baylor","TCU",4,0,4,1
401404115,12,2022,"Iowa State","Texas Tech",2,0,2,0
401404116,12,2022,"Kansas","Texas",2,0,7,2
401404117,12,2022,"West Virginia","Kansas State",4,0,5,2
401404118,12,2022,"Oklahoma","Oklahoma State",4,0,0,2
401404119,13,2022,"Texas","Baylor",5,1,2,1
401404120,13,2022,"TCU","Iowa State",6,2,2,0
401404121,13,2022,"Kansas State","Kansas",6,1,4,0
401404122,13,2022,"Texas Tech","Oklahoma",6,3,6,2
401404123,13,2022,"Oklahoma State","West Virginia",2,2,3,1
401404124,1,2022,"Ohio State","Notre Dame",3,0,1,1
401404125,2,2022,"Notre Dame","Marshall",3,0,2,2
401404126,4,2022,"North Carolina","Notre Dame",5,0,6,1
401404127,6,2022,"Notre Dame","BYU",2,2,3,0
401404128,8,2022,"Notre Dame","UNLV",5,3,3,0
401404129,9,2022,"Syracuse","Notre Dame",3,1,4,2
401404130,10,2022,"Notre Dame","Clemson",3,0,2,0
401404131,11,2022,"Navy","Notre Dame",4,1,5,0
401404132,12,2022,"Notre Dame","Boston College",5,3,0,0
401404133,13,2022,"USC","Notre Dame",5,1,4,0
401404134,1,2022,"Coastal Carolina","Army",5,1,4,0
401404136,3,2022,"Army","Villanova",6,0,1,1
401404137,5,2022,"Army","Georgia State",2,0,4,1
401404138,6,2022,"Wake Forest","Army",6,1,1,1
401404139,7,2022,"Army","Colgate",6,0,2,1
401404140,8,2022,"Army","Louisiana Monroe",6,2,3,1
401404141,10,2022,"Army","Air Force",1,0,1,2
401404142,11,2022,"Troy","Army",1,1,1,1
401404143,12,2022,"Army","Connecticut",4,0,2,1
401404144,13,2022,"UMass","Army",1,0,6,1
401404145,15,2022,"Army","Navy",1,2,2,1
401404146,1,2022,"Utah State","Connecticut",4,1,2,2
401404147,1,2022,"Connecticut","Central Connecticut",4,0,0,1
401404148,2,2022,"Connecticut","Syracuse",2,0,6,2
401404149,3,2022,"Michigan","Connecticut",7,1,0,0
401404150,4,2022,"NC State","Connecticut",5,2,1,1
401404151,5,2022,"Connecticut","Fresno State",2,2,1,0
401404153,7,2022,"Ball State","Connecticut",3,2,3,0
401404155,10,2022,"Connecticut","UMass",2,2,1,1
401404156,11,2022,"Connecticut","Liberty",4,0,4,2
401404157,1,2022,"Southern Mississippi","Liberty",2,2,3,2
401404159,3,2022,"Wake Forest","Liberty",4,3,4,2
401404160,4,2022,"Liberty","Akron",3,0,1,2
401404161,5,2022,"Old Dominion","Liberty",3,1,5,1
401404162,7,2022,"Liberty","Gardner-Webb",3,0,2,2
401404163,8,2022,"Liberty","BYU",5,2,2,0
401404164,6,2022,"UMass","Liberty",2,1,6,0
401404165,12,2022,"Liberty","Virginia Tech",1,2,3,1
401404166,13,2022,"Liberty","New Mexico State",2,0,7,0
401405058,1,2022,"Illinois","Wyoming",5,1,0,2
401405059,1,2022,"Northwestern","Nebraska",4,1,4,0
401405060,1,2022,"Minnesota","New Mexico State",5,1,0,0
401405061,1,2022,"Indiana","Illinois",2,3,2,2
401405062,1,2022,"Iowa","South Dakota State",0,1,0,1
401405063,1,2022,"Nebraska","North Dakota",5,1,2,1
401405064,1,2022,"Purdue","Penn State",3,1,5,0
401405065,1,2022,"Wisconsin","Illinois State",4,1,0,0
401405066,1,2022,"Maryland","Buffalo",4,1,1,1
401405067,1,2022,"Michigan","Colorado State",5,3,1,0
401405069,1,2022,"Boston College","Rutgers",3,0,3,1
401405070,2,2022,"Illinois","Virginia",3,1,0,1
401405071,2,2022,"Minnesota","Western Illinois",7,2,1,1
401405072,2,2022,"Nebraska","Georgia Southern",6,0,6,1
401405073,2,2022,"Northwestern","Duke",3,1,4,1
401405074,2,2022,"Purdue","Indiana State",8,0,0,0
401405075,2,2022,"Indiana","Idaho",5,0,3,1
401405077,2,2022,"Michigan","Hawai'i",8,0,1,1
401405078,2,2022,"Michigan State","Akron",8,1,0,0
401405079,2,2022,"Ohio State","Arkansas State",6,1,0,4
401405080,2,2022,"Penn State","Ohio",6,1,1,1
401405081,2,2022,"Rutgers","Wagner",8,1,1,0
401405082,3,2022,"Iowa","Nevada",3,2,0,0
401405083,3,2022,"Northwestern","Southern Illinois",3,1,4,1
401405085,3,2022,"Wisconsin","New Mexico State",9,1,1,0
401405087,3,2022,"Maryland","SMU",4,2,2,2
401405088,3,2022,"Ohio State","Toledo",11,0,3,0
401405089,3,2022,"Temple","Rutgers",2,0,0,3
401405091,4,2022,"Rutgers","Iowa",1,1,1,2
401405092,4,2022,"Michigan State","Minnesota",1,0,4,2
401405093,4,2022,"Northwestern","Miami (OH)",2,0,2,1
401405095,4,2022,"Ohio State","Wisconsin",7,1,3,0
401405096,4,2022,"Cincinnati","Indiana",5,1,3,1
401405097,4,2022,"Michigan","Maryland",4,2,3,2
401405098,4,2022,"Penn State","Central Michigan",5,0,2,0
401405099,5,2022,"Wisconsin","Illinois",1,1,4,2
401405100,5,2022,"Iowa","Michigan",2,0,3,2
401405101,5,2022,"Minnesota","Purdue",1,1,2,2
401405102,5,2022,"Nebraska","Indiana",4,0,2,0
401405103,5,2022,"Maryland","Michigan State",3,2,2,0
401405104,5,2022,"Ohio State","Rutgers",7,0,1,1
401405105,5,2022,"Penn State","Northwestern",2,1,1,0
401405106,6,2022,"Illinois","Iowa",0,3,0,2
401405107,6,2022,"Northwestern","Wisconsin",1,0,6,0
401405108,6,2022,"Indiana","Michigan",1,1,4,1
401405109,6,2022,"Maryland","Purdue",4,1,4,1
401405110,6,2022,"Michigan State","Ohio State",2,0,7,0
401405111,6,2022,"Rutgers","Nebraska",1,2,2,0
401405112,7,2022,"Illinois","Minnesota",2,4,2,0
401405113,7,2022,"Purdue","Nebraska",5,3,4,3
401405114,7,2022,"Indiana","Maryland",4,2,5,1
401405115,7,2022,"Michigan","Penn State",4,4,1,1
401405116,7,2022,"Michigan State","Wisconsin",5,0,4,0
401405117,8,2022,"Wisconsin","Purdue",4,0,3,1
401405118,8,2022,"Maryland","Northwestern",4,1,3,1
401405119,8,2022,"Ohio State","Iowa",5,4,0,1
401405120,8,2022,"Penn State","Minnesota",6,1,2,1
401405121,8,2022,"Rutgers","Indiana",2,1,1,1
401405122,9,2022,"Iowa","Northwestern",3,4,2,0
401405123,9,2022,"Minnesota","Rutgers",4,1,0,0
401405124,9,2022,"Nebraska","Illinois",1,1,3,2
401405125,9,2022,"Michigan","Michigan State",2,5,1,0
401405126,9,2022,"Penn State","Ohio State",4,1,4,3
401405127,10,2022,"Illinois","Michigan State",2,0,3,1
401405128,10,2022,"Nebraska","Minnesota",1,2,2,2
401405129,10,2022,"Northwestern","Ohio State",1,0,3,0
401405130,10,2022,"Purdue","Iowa",0,1,3,1
401405131,10,2022,"Wisconsin","Maryland",2,3,1,1
401405132,10,2022,"Indiana","Penn State",2,0,6,1
401405133,10,2022,"Rutgers","Michigan",1,1,6,1
401405134,11,2022,"Illinois","Purdue",3,1,4,1
401405135,11,2022,"Iowa","Wisconsin",2,1,1,1
401405136,11,2022,"Minnesota","Northwestern",4,1,0,1
401405137,11,2022,"Michigan","Nebraska",4,2,0,1
401405138,11,2022,"Michigan State","Rutgers",3,2,3,0
401405139,11,2022,"Ohio State","Indiana",8,0,2,0
401405140,11,2022,"Penn State","Maryland",3,3,0,0
401405141,12,2022,"Minnesota","Iowa",1,1,1,2
401405142,12,2022,"Nebraska","Wisconsin",2,0,2,1
401405143,12,2022,"Purdue","Northwestern",2,1,1,1
401405144,12,2022,"Maryland","Ohio State",3,2,3,3
401405145,12,2022,"Michigan","Illinois",1,4,2,1
401405146,12,2022,"Michigan State","Indiana",4,1,3,1
401405148,13,2022,"Iowa","Nebraska",2,1,3,1
401405149,13,2022,"Northwestern","Illinois",0,1,3,2
401405150,13,2022,"Wisconsin","Minnesota",1,3,2,3
401405151,13,2022,"Indiana","Purdue",2,1,3,1
401405152,13,2022,"Maryland","Rutgers",4,3,0,0
401405153,13,2022,"Ohio State","Michigan",2,3,6,1
401405154,13,2022,"Penn State","Michigan State",5,0,2,1
401409235,1,2022,"New Mexico State","Nevada",1,1,2,3
401409237,4,2022,"New Mexico State","Hawai'i",6,1,2,2
401409239,7,2022,"New Mexico State","New Mexico",3,0,0,3
401409242,9,2022,"UMass","New Mexico State",1,2,2,3
401411090,1,2022,"Florida State","Duquesne",6,2,1,0
401411091,1,2022,"North Carolina","Florida A&M",8,0,3,1
401411092,1,2022,"Pittsburgh","West Virginia",4,1,4,1
401411093,1,2022,"Wake Forest","VMI",5,3,1,1
401411094,1,2022,"Duke","Temple",3,3,0,0
401411095,1,2022,"Appalachian State","North Carolina",8,0,7,2
401411096,1,2022,"East Carolina","NC State",3,0,2,0
