"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401525469,2,2023,"Louisville","Murray State",8,0,0,0
401525490,2,2023,"Boston College","Holy Cross",4,1,4,0
401525491,2,2023,"Clemson","Charleston Southern",8,1,1,1
401525492,2,2023,"Duke","Lafayette",6,0,1,0
401525493,2,2023,"Florida State","Southern Mississippi",8,1,1,2
401525494,2,2023,"Georgia Tech","South Carolina State",6,2,2,0
401525495,2,2023,"North Carolina","Appalachian State",5,2,4,2
401525496,2,2023,"Pittsburgh","Cincinnati",3,0,3,2
401525497,2,2023,"Syracuse","Western Michigan",5,2,1,0
401525498,2,2023,"Virginia","James Madison",5,0,4,1
401525499,3,2023,"Miami","Bethune-Cookman",7,0,1,0
401525500,3,2023,"Boston College","Florida State",3,1,4,1
401525501,3,2023,"Clemson","Florida Atlantic",6,0,2,0
401525502,3,2023,"NC State","VMI",4,1,1,0
401525503,3,2023,"West Virginia","Pittsburgh",2,1,0,2
401525504,3,2023,"Old Dominion","Wake Forest",1,1,3,2
401525505,4,2023,"Virginia","NC State",2,2,3,1
401525506,4,2023,"Louisville","Boston College",8,0,4,0
401525507,4,2023,"Clemson","Florida State",3,1,3,1
401525508,4,2023,"Wake Forest","Georgia Tech",2,1,3,3
401525509,4,2023,"Temple","Miami",1,0,5,2
401525510,4,2023,"Pittsburgh","North Carolina",2,1,4,3
401525511,4,2023,"Marshall","Virginia Tech",3,1,2,1
401525512,5,2023,"NC State","Louisville",1,1,1,2
401525513,5,2023,"Boston College","Virginia",3,2,3,1
401525514,5,2023,"Syracuse","Clemson",2,0,4,1
401525515,5,2023,"Georgia Tech","Bowling Green",4,0,4,1
401525516,5,2023,"Virginia Tech","Pittsburgh",5,1,2,0
401525815,1,2023,"Kansas","Missouri State",6,2,2,1
401525816,1,2023,"UCF","Kent State",8,0,0,2
401525817,1,2023,"Baylor","Texas State",3,3,6,0
401525818,1,2023,"Cincinnati","Eastern Kentucky",9,1,1,2
401525819,1,2023,"Houston","UT San Antonio",2,1,2,0
401525820,1,2023,"Iowa State","Northern Iowa",3,1,1,1
401525821,1,2023,"Kansas State","Southeast Missouri State",6,1,0,0
401525822,1,2023,"Oklahoma","Arkansas State",9,1,0,0
401525823,1,2023,"Oklahoma State","Central Arkansas",3,2,2,0
401525824,1,2023,"Texas","Rice",4,2,1,1
401525825,1,2023,"Wyoming","Texas Tech",3,2,4,2
401525827,2,2023,"Boise State","UCF",2,1,0,4
401525828,2,2023,"BYU","Southern Utah",6,0,2,1
401525829,2,2023,"Kansas State","Troy",6,0,1,2
401525830,2,2023,"Oklahoma","SMU",4,0,1,1
401525831,2,2023,"Rice","Houston",6,0,4,0
401525832,2,2023,"TCU","Nicholls",4,2,1,2
401525833,2,2023,"West Virginia","Duquesne",8,0,2,1
401525834,3,2023,"Baylor","Long Island University",4,0,1,0
401525835,3,2023,"Cincinnati","Miami (OH)",2,3,3,1
401525836,3,2023,"Houston","TCU",0,2,5,3
401525837,3,2023,"Nevada","Kansas",3,1,4,1
401525838,3,2023,"Ohio","Iowa State",1,1,1,0
401525839,3,2023,"Oklahoma State","South Alabama",1,0,4,2
401525840,3,2023,"Texas","Wyoming",3,1,1,1
401525841,3,2023,"Texas Tech","Tarleton State",4,2,0,1
401525842,3,2023,"Tulsa","Oklahoma",2,1,8,1
401525843,3,2023,"UCF","Villanova",6,2,2,0
401525844,4,2023,"Baylor","Texas",0,2,5,1
401525845,4,2023,"Cincinnati","Oklahoma",0,2,2,2
401525846,4,2023,"Iowa State","Oklahoma State",4,2,3,2
401525847,4,2023,"Kansas","BYU",2,1,3,2
401525848,4,2023,"Kansas State","UCF",6,1,4,1
401525849,4,2023,"TCU","SMU",4,2,2,1
401525850,4,2023,"West Virginia","Texas Tech",2,2,1,2
401525851,5,2023,"BYU","Cincinnati",4,0,3,2
401525852,5,2023,"Oklahoma","Iowa State",5,2,2,2
401525853,5,2023,"TCU","West Virginia",3,0,3,1
401525854,5,2023,"Texas","Kansas",5,2,2,0
401525855,5,2023,"Texas Tech","Houston",5,0,5,0
401525856,5,2023,"UCF","Baylor",4,0,3,2
401525857,6,2023,"Oklahoma State","Kansas State",1,5,3,0
401526833,2,2023,"UMass","Miami (OH)",2,0,4,2
401526834,3,2023,"Eastern Michigan","UMass",2,2,2,1
401526835,4,2023,"UMass","New Mexico",3,3,5,0
401526836,5,2023,"UMass","Arkansas State",3,2,7,1
401531337,1,2023,"Tulsa","Arkansas-Pine Bluff",6,0,1,0
401531338,4,2023,"Northern Illinois","Tulsa",2,0,2,2
401531339,5,2023,"Tulsa","Temple",7,2,2,1
401531347,1,2023,"Tulane","South Alabama",4,3,2,1
401531348,3,2023,"Southern Mississippi","Tulane",0,1,3,0
401531349,4,2023,"Tulane","Nicholls",3,3,1,0
401531370,5,2023,"Tulane","UAB",5,0,2,3
401531377,1,2023,"UAB","North Carolina A&T",5,0,0,2
401531378,2,2023,"Georgia Southern","UAB",6,2,5,0
401531379,3,2023,"UAB","Louisiana",3,1,5,2
401531387,1,2023,"Temple","Akron",3,1,3,0
401531388,3,2023,"Temple","Norfolk State",5,2,1,0
401531395,2,2023,"UT San Antonio","Texas State",2,2,1,2
401531396,3,2023,"UT San Antonio","Army",4,0,4,3
401531402,1,2023,"Charlotte","South Carolina State",3,1,0,1
401531403,3,2023,"Charlotte","Georgia State",2,1,5,2
401531404,5,2023,"SMU","Charlotte",4,2,2,1
401531411,2,2023,"East Carolina","Marshall",1,2,4,1
401531412,3,2023,"Appalachian State","East Carolina",3,1,2,0
401531413,4,2023,"East Carolina","Gardner-Webb",6,1,0,0
401531414,5,2023,"Rice","East Carolina",3,1,1,3
401531418,1,2023,"Florida Atlantic","Monmouth",6,0,3,0
